Gene,Rep,SampleID,Time,Treat,TreatRep,Treatment,Type,Month
16S,1,A1-16-16S,16-Jun,A,A1,A1 6/16,Field,June
16S,2,A2-16-16S,16-Jun,A,A2,A2 6/16,Field,June
16S,3,A3-16-16S,16-Jun,A,A3,A3 6/16,Field,June
16S,4,A4-13-16S,13-Jun,A,A4,A4 6/13,Field,June
16S,4,A4-16-16S,16-Jun,A,A4,A4 6/16,Field,June
16S,4,A4-19-16S,19-Jun,A,A4,A4 6/19,Field,June
16S,1,A1-13-16S,13-Jun,A,A1,A1 6/13,Field,June
16S,3,A3-13-16S,13-Jun,A,A3,A3 6/13,Field,June
16S,2,A2-19-16S,19-Jun,A,A2,A2 6/19,Field,June
16S,3,A3-19-16S,19-Jun,A,A3,A3 6/19,Field,June
16S,1,A1-19-16S,19-Jun,A,A1,A1 6/19,Field,June
16S,2,A2-13-16S,13-Jun,A,A2,A2 6/13,Field,June
16S,1,C1-0-16S,t0,C,C1,t0 C1,Meso,June
16S,5,C5-4-16S,t4,C,C5,t4 C5,Meso,June
16S,2,H2-4-16S,t4,H,H2,t4 H2,Meso,June
16S,3,H3-3-16S,t3,H,H3,t3 H3,Meso,June
16S,5,H5-4-16S,t4,H,H5,t4 H5,Meso,June
16S,5,H5-3-16S,t3,H,H5,t3 H5,Meso,June
16S,4,C4-0-16S,t0,C,C4,t0 C4,Meso,June
16S,2,C2-1-16S,t1,C,C2,t1 C2,Meso,June
16S,2,C2-3-16S,t3,C,C2,t3 C2,Meso,June
16S,5,H5-2-16S,t2,H,H5,t2 H5,Meso,June
16S,5,C5-2-16S,t2,C,C5,t2 C5,Meso,June
16S,4,C4-1-16S,t1,C,C4,t1 C4,Meso,June
16S,3,C3-4-16S,t4,C,C3,t4 C3,Meso,June
16S,1,H1-1-16S,t1,H,H1,t1 H1,Meso,June
16S,2,H2-2-16S,t2,H,H2,t2 H2,Meso,June
16S,2,H2-3-16S,t3,H,H2,t3 H2,Meso,June
16S,1,C1-2-16S,t2,C,C1,t2 C1,Meso,June
16S,2,C2-0-16S,t0,C,C2,t0 C2,Meso,June
16S,1,C1-1-16S,t1,C,C1,t1 C1,Meso,June
16S,3,H3-0-16S,t0,H,H3,t0 H3,Meso,June
16S,3,C3-2-16S,t2,C,C3,t2 C3,Meso,June
16S,1,C1-4-16S,t4,C,C1,t4 C1,Meso,June
16S,1,H1-3-16S,t3,H,H1,t3 H1,Meso,June
16S,5,H5-0-16S,t0,H,H5,t0 H5,Meso,June
16S,1,H1-0-16S,t0,H,H1,t0 H1,Meso,June
16S,1,C1-3-16S,t3,C,C1,t3 C1,Meso,June
16S,4,C4-2-16S,t2,C,C4,t2 C4,Meso,June
16S,3,H3-1-16S,t1,H,H3,t1 H3,Meso,June
16S,5,H5-1-16S,t1,H,H5,t1 H5,Meso,June
16S,4,H4-4-16S,t4,H,H4,t4 H4,Meso,June
16S,1,H1-4-16S,t4,H,H1,t4 H1,Meso,June
16S,1,H1-2-16S,t2,H,H1,t2 H1,Meso,June
16S,2,H2-0-16S,t0,H,H2,t0 H2,Meso,June
16S,4,H4-3-16S,t3,H,H4,t3 H4,Meso,June
16S,5,C5-3-16S,t3,C,C5,t3 C5,Meso,June
16S,3,C3-3-16S,t3,C,C3,t3 C3,Meso,June
16S,5,C5-1-16S,t1,C,C5,t1 C5,Meso,June
16S,2,C2-2-16S,t2,C,C2,t2 C2,Meso,June
16S,2,H2-1-16S,t1,H,H2,t1 H2,Meso,June
16S,3,H3-2-16S,t2,H,H3,t2 H3,Meso,June
16S,4,H4-2-16S,t2,H,H4,t2 H4,Meso,June
16S,4,C4-4-16S,t4,C,C4,t4 C4,Meso,June
16S,4,H4-1-16S,t1,H,H4,t1 H4,Meso,June
16S,3,H3-4-16S,t4,H,H3,t4 H3,Meso,June
16S,2,C2-4-16S,t4,C,C2,t4 C2,Meso,June
16S,4,H4-0-16S,t0,H,H4,t0 H4,Meso,June
16S,3,C3-1-16S,t1,C,C3,t1 C3,Meso,June
16S,4,C4-3-16S,t3,C,C4,t3 C4,Meso,June
16S,1,H1-6-16S,t6,H,H1,t6 H1,Meso,June
16S,2,H2-5-16S,t5,H,H2,t5 H2,Meso,June
16S,3,C3-6-16S,t6,C,C3,t6 C3,Meso,June
16S,5,C5-5-16S,t5,C,C5,t5 C5,Meso,June
16S,2,C2-6-16S,t6,C,C2,t6 C2,Meso,June
16S,4,H4-5-16S,t5,H,H4,t5 H4,Meso,June
16S,5,H5-5-16S,t5,H,H5,t5 H5,Meso,June
16S,1,C1-5-16S,t5,C,C1,t5 C1,Meso,June
16S,3,C3-5-16S,t5,C,C3,t5 C3,Meso,June
16S,5,C5-0-16S,t0,C,C5,t0 C5,Meso,June
16S,5,C5-6-16S,t6,C,C5,t6 C5,Meso,June
16S,4,C4-6-16S,t6,C,C4,t6 C4,Meso,June
16S,2,C2-5-16S,t5,C,C2,t5 C2,Meso,June
16S,3,C3-0-16S,t0,C,C3,t0 C3,Meso,June
16S,5,H5-6-16S,t6,H,H5,t6 H5,Meso,June
16S,1,H1-5-16S,t5,H,H1,t5 H1,Meso,June
16S,3,H3-5-16S,t5,H,H3,t5 H3,Meso,June
16S,4,H4-6-16S,t6,H,H4,t6 H4,Meso,June
16S,1,C1-6-16S,t6,C,C1,t6 C1,Meso,June
16S,2,H2-6-16S,t6,H,H2,t6 H2,Meso,June
16S,3,H3-6-16S,t6,H,H3,t6 H3,Meso,June
16S,4,C4-5-16S,t5,C,C4,t5 C4,Meso,June
16S,2,RS2-16S,1,RS,RS2,RS2,Soil,June
16S,3,RS3-16S,1,RS,RS3,RS3,Soil,June
16S,1,RS1-16S,1,RS,RS1,RS1,Soil,June
16S,4,RS4-16S,1,RS,RS4,RS4,Soil,June
16S,3,RSJ2_C1,3-Oct,A,A3,A3 10/03,Field,Oct
16S,4,RSJ2_A2,1-Oct,A,A4,A4 10/01,Field,Oct
16S,2,RSJ2_B2,1-Oct,A,A2,A2 10/01,Field,Oct
16S,4,RSJ2_B4,28-Sep,A,A4,A4 9/28,Field,Oct
16S,4,RSJ2_C6,3-Oct,A,A4,A4 10/03,Field,Oct
16S,4,RSJ2_D6,8-Oct,A,A4,A4 10/08,Field,Oct
16S,3,RSJ2_B7,8-Oct,A,A3,A3 10/08,Field,Oct
16S,3,RSJ2_B8,28-Sep,A,A3,A3 9/28,Field,Oct
16S,3,RSJ2_C8,1-Oct,A,A3,A3 10/01,Field,Oct
16S,2,RSJ2_D8,8-Oct,A,A2,A2 10/08,Field,Oct
16S,1,RSJ2_B9,28-Sep,A,A1,A1 9/28,Field,Oct
16S,1,RSJ2_C9,1-Oct,A,A1,A1 10/01,Field,Oct
16S,2,RSJ2_C10,3-Oct,A,A2,A2 10/03,Field,Oct
16S,2,RSJ2_D10,28-Sep,A,A2,A2 9/28,Field,Oct
16S,1,RSJ2_C11,3-Oct,A,A1,A1 10/03,Field,Oct
16S,1,RSJ2_C12,8-Oct,A,A1,A1 10/08,Field,Oct
16S,1,RSJ1_A1,t3,H,H1,t3 H1,Meso,Oct
16S,2,RSJ1_B1,t6,C,C2,t6 C2,Meso,Oct
16S,4,RSJ1_C1,t6,H,H4,t6 H4,Meso,Oct
16S,3,RSJ1_D1,t4,C,C3,t4 C3,Meso,Oct
16S,1,RSJ1_A2,t2,H,H1,t2 H1,Meso,Oct
16S,3,RSJ1_B2,t6,C,C3,t6 C3,Meso,Oct
16S,1,RSJ1_C2,t0,F,Fe1,t0 Fe1,Meso,Oct
16S,3,RSJ1_D2,t6,F,Fe3,t6 Fe3,Meso,Oct
16S,1,RSJ1_A3,t6,C,C1,t6 C1,Meso,Oct
16S,1,RSJ1_B3,t6,H,H1,t6 H1,Meso,Oct
16S,4,RSJ1_C3,t1,F,Fe4,t1 Fe4,Meso,Oct
16S,2,RSJ1_D3,t4,C,C2,t4 C2,Meso,Oct
16S,2,RSJ1_A4,t6,H,H2,t6 H2,Meso,Oct
16S,4,RSJ1_B4,t4,F,Fe4,t4 Fe4,Meso,Oct
16S,4,RSJ1_C4,t4,C,C4,t4 C4,Meso,Oct
16S,5,RSJ1_D4,t4,H,H5,t4 H5,Meso,Oct
16S,1,RSJ1_A5,t4,F,Fe1,t4 Fe1,Meso,Oct
16S,1,RSJ1_B5,t3,F,Fe1,t3 Fe1,Meso,Oct
16S,3,RSJ1_C5,t2,F,Fe3,t2 Fe3,Meso,Oct
16S,3,RSJ1_D5,t3,C,C3,t3 C3,Meso,Oct
16S,4,RSJ1_A6,t0,H,H4,t0 H4,Meso,Oct
16S,2,RSJ1_B6,t5,H,H2,t5 H2,Meso,Oct
16S,4,RSJ1_C6,t1,C,C4,t1 C4,Meso,Oct
16S,5,RSJ1_D6,t5,H,H5,t5 H5,Meso,Oct
16S,3,RSJ1_A7,t5,C,C3,t5 C3,Meso,Oct
16S,4,RSJ1_B7,t6,C,C4,t6 C4,Meso,Oct
16S,4,RSJ1_C7,t3,F,Fe4,t3 Fe4,Meso,Oct
16S,4,RSJ1_D7,t3,H,H4,t3 H4,Meso,Oct
16S,3,RSJ1_A8,t5,F,Fe3,t5 Fe3,Meso,Oct
16S,2,RSJ1_B8,t5,F,Fe2,t5 Fe2,Meso,Oct
16S,4,RSJ1_C8,t2,H,H4,t2 H4,Meso,Oct
16S,1,RSJ1_D8,t4,C,C1,t4 C1,Meso,Oct
16S,2,RSJ1_A9,t4,H,H2,t4 H2,Meso,Oct
16S,4,RSJ1_B9,t0,F,Fe4,t0 Fe4,Meso,Oct
16S,3,RSJ1_C9,t0,F,Fe3,t0 Fe3,Meso,Oct
16S,4,RSJ1_D9,t5,C,C4,t5 C4,Meso,Oct
16S,2,RSJ1_A10,t0,C,C2,t0 C2,Meso,Oct
16S,2,RSJ1_B10,t2,F,Fe2,t2 Fe2,Meso,Oct
16S,4,RSJ1_C10,t3,C,C4,t3 C4,Meso,Oct
16S,5,RSJ1_D10,t1,H,H5,t1 H5,Meso,Oct
16S,2,RSJ1_A11,t2,H,H2,t2 H2,Meso,Oct
16S,1,RSJ1_B11,t1,C,C1,t1 C1,Meso,Oct
16S,5,RSJ1_C11,t6,H,H5,t6 H5,Meso,Oct
16S,4,RSJ1_D11,t5,H,H4,t5 H4,Meso,Oct
16S,1,RSJ1_A12,t0,H,H1,t0 H1,Meso,Oct
16S,3,RSJ1_B12,t1,C,C3,t1 C3,Meso,Oct
16S,1,RSJ1_C12,t2,C,C1,t2 C1,Meso,Oct
16S,3,RSJ1_D12,t0,C,C3,t0 C3,Meso,Oct
16S,3,RSJ2_A1,t2,C,C3,t2 C3,Meso,Oct
16S,4,RSJ2_B1,t6,F,Fe4,t6 Fe4,Meso,Oct
16S,2,RSJ2_D1,t4,F,Fe2,t4 Fe2,Meso,Oct
16S,3,RSJ2_C2,t1,F,Fe3,t1 Fe3,Meso,Oct
16S,3,RSJ2_D2,t4,F,Fe3,t4 Fe3,Meso,Oct
16S,4,RSJ2_A3,t1,H,H4,t1 H4,Meso,Oct
16S,1,RSJ2_B3,t5,H,H1,t5 H1,Meso,Oct
16S,1,RSJ2_C3,t3,C,C1,t3 C1,Meso,Oct
16S,2,RSJ2_D3,t2,C,C2,t2 C2,Meso,Oct
16S,1,RSJ2_A4,t6,F,Fe1,t6 Fe1,Meso,Oct
16S,1,RSJ2_D4,t1,F,Fe1,t1 Fe1,Meso,Oct
16S,3,RSJ2_A5,t0,H,H3,t0 H3,Meso,Oct
16S,2,RSJ2_B5,t3,H,H2,t3 H2,Meso,Oct
16S,2,RSJ2_C5,t3,F,Fe2,t3 Fe2,Meso,Oct
16S,1,RSJ2_D5,t5,F,Fe1,t5 Fe1,Meso,Oct
16S,1,RSJ2_A6,t1,H,H1,t1 H1,Meso,Oct
16S,4,RSJ2_B6,t4,H,H4,t4 H4,Meso,Oct
16S,3,RSJ2_A7,t3,H,H3,t3 H3,Meso,Oct
16S,2,RSJ2_C7,t5,C,C2,t5 C2,Meso,Oct
16S,4,RSJ2_D7,t2,C,C4,t2 C4,Meso,Oct
16S,2,RSJ2_A8,t1,F,Fe2,t1 Fe2,Meso,Oct
16S,2,RSJ2_A9,t1,H,H2,t1 H2,Meso,Oct
16S,1,RSJ2_D9,t2,F,Fe1,t2 Fe1,Meso,Oct
16S,3,RSJ2_A10,t6,H,H3,t6 H3,Meso,Oct
16S,1,RSJ2_B10,t5,C,C1,t5 C1,Meso,Oct
16S,3,RSJ2_A11,t1,H,H3,t1 H3,Meso,Oct
16S,3,RSJ2_B11,t4,H,H3,t4 H3,Meso,Oct
16S,2,RSJ2_D11,t3,C,C2,t3 C2,Meso,Oct
16S,4,RSJ2_B12,t5,F,Fe4,t5 Fe4,Meso,Oct
16S,4,RSJ2_D12,t2,F,Fe4,t2 Fe4,Meso,Oct
16S,3,RSJ2_C4,2,RS,RS3,RS 3,Soil,Oct
16S,2,RSJ2_A12,2,RS,RS2,RS 2,Soil,Oct